WK Level 80	WK Level 85	WK Level 90	WK Level 95	Title	Main Author	AB Book ID
10	13	18	26	かいじん二十めんそう	江戸川, 乱歩	57227
12	17	23	39	赤いカブトムシ	江戸川, 乱歩	57105
13	15	19	28	青い玉と銀色のふえ	小川, 未明	51496
13	15	20	34	花かごとたいこ	小川, 未明	51654
13	16	19	25	はつゆめ	小川, 未明	51652
13	16	21	28	しろくまの　子	小川, 未明	51590
13	16	21	28	マルは　しあわせ	小川, 未明	51726
13	16	21	29	みけの　ごうがいやさん	小川, 未明	51688
13	16	21	37	正ちゃんとおかいこ	小川, 未明	52066
13	16	24	35	ウマヤノ　ソバノ　ナタネ	新美, 南吉	43392
13	17	21	37	赤い鳥	小川, 未明	51115
13	17	27	34	まほうやしき	江戸川, 乱歩	57165
13	18	23	30	かいじん二十めんそう	江戸川, 乱歩	57226
14	16	20	26	立すくむ	今野, 大力	55551
14	16	21	28	しゃしんやさん 	小川, 未明	51578
14	16	21	28	三人と　二つの　りんご	小川, 未明	51575
14	16	22	31	源八栗	沖野, 岩三郎	45178
14	17	22	28	お月さまと　ぞう	小川, 未明	51539
14	17	25	34	ならずもの	グリム, ヴィルヘルム・カール	59636
14	20	26	38	片目のごあいさつ	小川, 未明	52049
14	20	29	38	ナガレボシ	新美, 南吉	43404
14	20	29	38	センセイノ　コ	新美, 南吉	43399
14	20	29	38	サルト　サムライ	新美, 南吉	43398
14	21	28	39	カタツムリノ　ウタ	新美, 南吉	43395
14	21	29	38	カゴカキ	新美, 南吉	43394
14	21	29	38	カナヅチ	新美, 南吉	43396
15	16	20	37	はたらく二少年	小川, 未明	51651
15	17	21	29	つじうら売りのおばあさん	小川, 未明	52080
15	17	21	31	ひばりのおじさん	小川, 未明	51666
15	17	22	28	秋が　きました	小川, 未明	51528
15	17	22	28	こがらしの　ふく　ばん	小川, 未明	51562
15	17	22	30	おっぱい	小川, 未明	51512
15	17	22	35	引かれていく牛	小川, 未明	51662
15	17	23	28	つめたい　メロン	小川, 未明	51620
15	17	23	33	風七題	小川, 未明	51518
15	17	23	34	新しい町	小川, 未明	51499
15	17	23	34	村のかじやさん	小川, 未明	52114
15	17	24	35	春さきの朝のこと	小川, 未明	51659
15	17	25	38	ちょうせんぶなと美しい小箱	小川, 未明	52079
15	17	27	33	ばべるの塔	沖野, 岩三郎	45174
15	18	23	43	岡の家	鈴木, 三重吉	18332
15	18	26	37	ボールの行方	小川, 未明	52123
15	18	28	31	「の」の字の世界	佐藤, 春夫	58565
15	18	28	42	名なし指物語	新美, 南吉	56141
15	19	26	41	心は大空を泳ぐ	小川, 未明	51564
15	19	27	42	いちょうの実	宮沢, 賢治	51156
15	19	28	47	「文壇波動調」欄記事	岸田, 国士	44333
15	20	28	37	青葉の下	小川, 未明	51497
15	20	28	39	緑色の時計	小川, 未明	51691
15	21	27	37	ヒロツタ　ラツパ	新美, 南吉	43406
15	21	33	38	花とあかり	小川, 未明	52102
15	22	28	43	にじの歌	小川, 未明	51121
15	22	29	38	ヌスビトト　コヒツヂ	新美, 南吉	43405
16	17	22	30	お面とりんご	小川, 未明	52048
16	17	23	27	今日もまた	今野, 大力	55539
16	17	23	27	泣きながら眠った子	今野, 大力	55562
16	17	23	45	祈願	今野, 大力	55546
16	17	24	38	きれいなきれいな町	小川, 未明	52056
16	17	28	60	夕べの曲	今野, 大力	55569
16	18	23	28	風見	北原, 白秋	55756
16	18	27	31	こころ	今野, 大力	55540
16	18	28	38	かぶと虫	新美, 南吉	45213
16	19	23	34	僕の通るみち	小川, 未明	51676
16	19	24	36	ペスときょうだい	小川, 未明	51725
16	19	26	36	どこかで呼ぶような	小川, 未明	51631
16	20	24	39	母犬	小川, 未明	52103
16	20	25	34	托児所のある村	小川, 未明	51601
16	20	26	35	はちの巣	小川, 未明	52101
